c_date,iso2,iso3,code3,FIPS,Province_State,Country_Region,Death
5/14/20,US,USA,840,1,Alabama,US,11161
5/15/20,US,USA,840,1,Alabama,US,11494
5/16/20,US,USA,840,1,Alabama,US,11828
5/17/20,US,USA,840,1,Alabama,US,12137
5/18/20,US,USA,840,1,Alabama,US,12438
5/19/20,US,USA,840,1,Alabama,US,12825
5/20/20,US,USA,840,1,Alabama,US,13186
5/21/20,US,USA,840,1,Alabama,US,13590
5/22/20,US,USA,840,1,Alabama,US,13954
5/23/20,US,USA,840,1,Alabama,US,14328
5/24/20,US,USA,840,1,Alabama,US,14676
5/25/20,US,USA,840,1,Alabama,US,15309
5/26/20,US,USA,840,1,Alabama,US,15899
5/27/20,US,USA,840,1,Alabama,US,16263
5/28/20,US,USA,840,1,Alabama,US,16749
5/29/20,US,USA,840,1,Alabama,US,17262
5/30/20,US,USA,840,1,Alabama,US,17689
5/31/20,US,USA,840,1,Alabama,US,18200
6/1/20,US,USA,840,1,Alabama,US,18525
6/2/20,US,USA,840,1,Alabama,US,18734
6/3/20,US,USA,840,1,Alabama,US,18954
6/4/20,US,USA,840,1,Alabama,US,19262
6/5/20,US,USA,840,1,Alabama,US,19910
6/6/20,US,USA,840,1,Alabama,US,20355
6/7/20,US,USA,840,1,Alabama,US,20777
6/8/20,US,USA,840,1,Alabama,US,21268
6/9/20,US,USA,840,1,Alabama,US,21834
6/10/20,US,USA,840,1,Alabama,US,22659
6/11/20,US,USA,840,1,Alabama,US,23370
6/12/20,US,USA,840,1,Alabama,US,24405
6/13/20,US,USA,840,1,Alabama,US,25364
6/14/20,US,USA,840,1,Alabama,US,26182
6/15/20,US,USA,840,1,Alabama,US,26485
6/16/20,US,USA,840,1,Alabama,US,27034
6/17/20,US,USA,840,1,Alabama,US,27941
6/18/20,US,USA,840,1,Alabama,US,28676
6/19/20,US,USA,840,1,Alabama,US,29225
6/20/20,US,USA,840,1,Alabama,US,29683
6/21/20,US,USA,840,1,Alabama,US,30122
6/22/20,US,USA,840,1,Alabama,US,30771
6/23/20,US,USA,840,1,Alabama,US,31889
6/24/20,US,USA,840,1,Alabama,US,32878
6/25/20,US,USA,840,1,Alabama,US,33880
6/26/20,US,USA,840,1,Alabama,US,34903
6/27/20,US,USA,840,1,Alabama,US,35083
6/28/20,US,USA,840,1,Alabama,US,36503
6/29/20,US,USA,840,1,Alabama,US,37589
6/30/20,US,USA,840,1,Alabama,US,38477
7/1/20,US,USA,840,1,Alabama,US,39647
7/2/20,US,USA,840,1,Alabama,US,41340
7/3/20,US,USA,840,1,Alabama,US,42255
7/4/20,US,USA,840,1,Alabama,US,43216
7/5/20,US,USA,840,1,Alabama,US,44022
7/6/20,US,USA,840,1,Alabama,US,44932
7/7/20,US,USA,840,1,Alabama,US,46348
7/8/20,US,USA,840,1,Alabama,US,48149
7/9/20,US,USA,840,1,Alabama,US,49695
7/10/20,US,USA,840,1,Alabama,US,51329
7/11/20,US,USA,840,1,Alabama,US,52802
7/12/20,US,USA,840,1,Alabama,US,54781
7/13/20,US,USA,840,1,Alabama,US,56168
7/14/20,US,USA,840,1,Alabama,US,58284
7/15/20,US,USA,840,1,Alabama,US,60194
7/16/20,US,USA,840,1,Alabama,US,62128
7/17/20,US,USA,840,1,Alabama,US,64152
7/18/20,US,USA,840,1,Alabama,US,66181
7/19/20,US,USA,840,1,Alabama,US,67733
7/20/20,US,USA,840,1,Alabama,US,69236
7/21/20,US,USA,840,1,Alabama,US,70600
7/22/20,US,USA,840,1,Alabama,US,72594
7/23/20,US,USA,840,1,Alabama,US,74685
7/24/20,US,USA,840,1,Alabama,US,76795
7/25/20,US,USA,840,1,Alabama,US,78188
7/26/20,US,USA,840,1,Alabama,US,79948
7/27/20,US,USA,840,1,Alabama,US,81256
7/28/20,US,USA,840,1,Alabama,US,82698
7/29/20,US,USA,840,1,Alabama,US,84652
7/30/20,US,USA,840,1,Alabama,US,86664
7/31/20,US,USA,840,1,Alabama,US,88266
8/1/20,US,USA,840,1,Alabama,US,90299
8/2/20,US,USA,840,1,Alabama,US,91458
8/3/20,US,USA,840,1,Alabama,US,92502
8/4/20,US,USA,840,1,Alabama,US,93457
8/5/20,US,USA,840,1,Alabama,US,95323
8/6/20,US,USA,840,1,Alabama,US,97044
8/7/20,US,USA,840,1,Alabama,US,98895
8/8/20,US,USA,840,1,Alabama,US,99854
8/9/20,US,USA,840,1,Alabama,US,101466
8/10/20,US,USA,840,1,Alabama,US,102391
8/11/20,US,USA,840,1,Alabama,US,103485
8/12/20,US,USA,840,1,Alabama,US,104219
8/13/20,US,USA,840,1,Alabama,US,104976
8/14/20,US,USA,840,1,Alabama,US,106096
8/15/20,US,USA,840,1,Alabama,US,106926
8/16/20,US,USA,840,1,Alabama,US,107667
8/17/20,US,USA,840,1,Alabama,US,109092
8/18/20,US,USA,840,1,Alabama,US,110415
8/19/20,US,USA,840,1,Alabama,US,111696
8/20/20,US,USA,840,1,Alabama,US,112737
8/21/20,US,USA,840,1,Alabama,US,114212
8/22/20,US,USA,840,1,Alabama,US,114809
8/23/20,US,USA,840,1,Alabama,US,115485
8/24/20,US,USA,840,1,Alabama,US,116045
8/25/20,US,USA,840,1,Alabama,US,118190
8/26/20,US,USA,840,1,Alabama,US,119904
8/27/20,US,USA,840,1,Alabama,US,121041
8/28/20,US,USA,840,1,Alabama,US,122879
8/29/20,US,USA,840,1,Alabama,US,124155
8/30/20,US,USA,840,1,Alabama,US,124944
8/31/20,US,USA,840,1,Alabama,US,126500
9/1/20,US,USA,840,1,Alabama,US,127234
9/2/20,US,USA,840,1,Alabama,US,128240
9/3/20,US,USA,840,1,Alabama,US,129225
9/4/20,US,USA,840,1,Alabama,US,130373
9/5/20,US,USA,840,1,Alabama,US,130914
9/6/20,US,USA,840,1,Alabama,US,131690
9/7/20,US,USA,840,1,Alabama,US,132221
9/8/20,US,USA,840,1,Alabama,US,133005
9/9/20,US,USA,840,1,Alabama,US,134061
9/10/20,US,USA,840,1,Alabama,US,135138
9/11/20,US,USA,840,1,Alabama,US,136107
9/12/20,US,USA,840,1,Alabama,US,137166
9/13/20,US,USA,840,1,Alabama,US,137861
9/14/20,US,USA,840,1,Alabama,US,138619
9/15/20,US,USA,840,1,Alabama,US,139660
9/16/20,US,USA,840,1,Alabama,US,140423
9/17/20,US,USA,840,1,Alabama,US,141454
9/18/20,US,USA,840,1,Alabama,US,142768
9/19/20,US,USA,840,1,Alabama,US,143578
9/20/20,US,USA,840,1,Alabama,US,144325
9/21/20,US,USA,840,1,Alabama,US,145202
9/22/20,US,USA,840,1,Alabama,US,145859
9/23/20,US,USA,840,1,Alabama,US,146897
9/24/20,US,USA,840,1,Alabama,US,149263
9/25/20,US,USA,840,1,Alabama,US,150239
9/26/20,US,USA,840,1,Alabama,US,150965
9/27/20,US,USA,840,1,Alabama,US,151604
9/28/20,US,USA,840,1,Alabama,US,152350
9/29/20,US,USA,840,1,Alabama,US,153584
9/30/20,US,USA,840,1,Alabama,US,154772
10/1/20,US,USA,840,1,Alabama,US,155727
10/2/20,US,USA,840,1,Alabama,US,157402
10/3/20,US,USA,840,1,Alabama,US,158181
10/4/20,US,USA,840,1,Alabama,US,158717
10/5/20,US,USA,840,1,Alabama,US,159476
10/6/20,US,USA,840,1,Alabama,US,160485
10/7/20,US,USA,840,1,Alabama,US,161085
10/8/20,US,USA,840,1,Alabama,US,162683
10/9/20,US,USA,840,1,Alabama,US,163897
10/10/20,US,USA,840,1,Alabama,US,164698
10/11/20,US,USA,840,1,Alabama,US,165414
10/12/20,US,USA,840,1,Alabama,US,166514
10/13/20,US,USA,840,1,Alabama,US,167396
10/14/20,US,USA,840,1,Alabama,US,168620
10/15/20,US,USA,840,1,Alabama,US,169845
10/16/20,US,USA,840,1,Alabama,US,171157
10/17/20,US,USA,840,1,Alabama,US,172137
10/18/20,US,USA,840,1,Alabama,US,173002
10/19/20,US,USA,840,1,Alabama,US,174078
10/20/20,US,USA,840,1,Alabama,US,175210
10/21/20,US,USA,840,1,Alabama,US,176605
10/22/20,US,USA,840,1,Alabama,US,180437
10/23/20,US,USA,840,1,Alabama,US,182567
10/24/20,US,USA,840,1,Alabama,US,183831
10/25/20,US,USA,840,1,Alabama,US,184723
10/26/20,US,USA,840,1,Alabama,US,185938
10/27/20,US,USA,840,1,Alabama,US,187267
10/28/20,US,USA,840,1,Alabama,US,188775
10/29/20,US,USA,840,1,Alabama,US,190113
10/30/20,US,USA,840,1,Alabama,US,191932
10/31/20,US,USA,840,1,Alabama,US,193613
11/1/20,US,USA,840,1,Alabama,US,194458
11/2/20,US,USA,840,1,Alabama,US,195692
